"accession","length","host","segment","serotype","country","region","date","name","mutations","age","gender","lineage","vac_strain","fulllength_plus"
"JX518888","1701","Human","4 (HA)","H3N2","China","N","1995","Influenza A virus (A/Wuhan/359/1995(H3N2))","","","","","","c"
"CY088483","1701","Human","4 (HA)","H3N2","China","N","2002","Influenza A virus (A/Fujian/411/2002(H3N2))","","","","","","c"
"EU604298","1701","Human","4 (HA)","H3N2","China","N","2005","Influenza A virus (A/Guangdong/03/2005(H3N2))","","","","","","c"
"EU620763","1701","Human","4 (HA)","H3N2","China","N","2005","Influenza A virus (A/Guangdong/07/2005(H3N2))","","","","","","c"
"EU620755","1701","Human","4 (HA)","H3N2","China","N","2005","Influenza A virus (A/Guangdong/05/2005(H3N2))","","","","","","c"
"KM208505","1701","Human","4 (HA)","H3N2","China","N","2010/08/03","Influenza A virus (A/Hangzhou/641/2010(H3N2))","","","","","","c"
"KM208506","1701","Human","4 (HA)","H3N2","China","N","2010/08/27","Influenza A virus (A/Hangzhou/716/2010(H3N2))","","","","","","c"
"KM208507","1701","Human","4 (HA)","H3N2","China","N","2010/09/08","Influenza A virus (A/Hangzhou/752/2010(H3N2))","","","","","","c"
"HQ664924","1701","Human","4 (HA)","H3N2","China","N","2010/09/10","Influenza A virus (A/Nanjing/1654/2010(H3N2))","","","","","","c"
"HQ664914","1701","Human","4 (HA)","H3N2","China","N","2010/09/10","Influenza A virus (A/Nanjing/1655/2010(H3N2))","","","","","","c"
"HQ664931","1701","Human","4 (HA)","H3N2","China","N","2010/09/10","Influenza A virus (A/Nanjing/1663/2010(H3N2))","","","","","","c"
"KM208508","1701","Human","4 (HA)","H3N2","China","N","2010/09/14","Influenza A virus (A/Hangzhou/766/2010(H3N2))","","","","","","c"
"KM208509","1701","Human","4 (HA)","H3N2","China","N","2010/09/17","Influenza A virus (A/Hangzhou/779/2010(H3N2))","","","","","","c"
"KM208510","1701","Human","4 (HA)","H3N2","China","N","2010/09/21","Influenza A virus (A/Hangzhou/790/2010(H3N2))","","","","","","c"
"JQ220541","1701","Human","4 (HA)","H3N2","China","N","2010/12/06","Influenza A virus (A/Shantou/546/2010(H3N2))","","","","","","c"
"KM208511","1701","Human","4 (HA)","H3N2","China","N","2010/12/20","Influenza A virus (A/Hangzhou/952/2010(H3N2))","","","","","","c"
"KM208512","1701","Human","4 (HA)","H3N2","China","N","2010/12/23","Influenza A virus (A/Hangzhou/960/2010(H3N2))","","","","","","c"
"KJ567654","1701","Human","4 (HA)","H3N2","China","N","2011/08/08","Influenza A virus (A/Zhongshan/01/2011(H3N2))","","","","","","c"
"KJ567655","1701","Human","4 (HA)","H3N2","China","N","2011/08/08","Influenza A virus (A/Zhongshan/02/2011(H3N2))","","","","","","c"
"KM208513","1701","Human","4 (HA)","H3N2","China","N","2012/01/24","Influenza A virus (A/Hangzhou/A89/2012(H3N2))","","","","","","c"
"KM208514","1701","Human","4 (HA)","H3N2","China","N","2012/01/24","Influenza A virus (A/Hangzhou/B87/2012(H3N2))","","","","","","c"
"KM208515","1701","Human","4 (HA)","H3N2","China","N","2012/03/01","Influenza A virus (A/Hangzhou/A98/2012(H3N2))","","","","","","c"
"KM208516","1701","Human","4 (HA)","H3N2","China","N","2012/03/01","Influenza A virus (A/Hangzhou/A101/2012(H3N2))","","","","","","c"
"KM208517","1701","Human","4 (HA)","H3N2","China","N","2012/03/01","Influenza A virus (A/Hangzhou/B98/2012(H3N2))","","","","","","c"
"KM208518","1701","Human","4 (HA)","H3N2","China","N","2012/03/05","Influenza A virus (A/Hangzhou/A109/2012(H3N2))","","","","","","c"
"KM208519","1701","Human","4 (HA)","H3N2","China","N","2012/03/05","Influenza A virus (A/Hangzhou/A110/2012(H3N2))","","","","","","c"
"KM208520","1701","Human","4 (HA)","H3N2","China","N","2012/03/05","Influenza A virus (A/Hangzhou/B102/2012(H3N2))","","","","","","c"
"KJ567656","1701","Human","4 (HA)","H3N2","China","N","2012/04/18","Influenza A virus (A/Zhongshan/01/2012(H3N2))","","","","","","c"
"KJ567657","1701","Human","4 (HA)","H3N2","China","N","2012/04/18","Influenza A virus (A/Zhongshan/02/2012(H3N2))","","","","","","c"
"KM208522","1701","Human","4 (HA)","H3N2","China","N","2012/07/13","Influenza A virus (A/Hangzhou/A289/2012(H3N2))","","","","","","c"
"KM208523","1701","Human","4 (HA)","H3N2","China","N","2012/07/13","Influenza A virus (A/Hangzhou/B319/2012(H3N2))","","","","","","c"
"KM208524","1701","Human","4 (HA)","H3N2","China","N","2012/07/25","Influenza A virus (A/Hangzhou/B334/2012(H3N2))","","","","","","c"
"MH393235","1701","Human","4 (HA)","H3N2","China","N","2012/08/06","Influenza A virus (A/China/356/2012)","","","","","","c"
"KM208526","1701","Human","4 (HA)","H3N2","China","N","2012/08/07","Influenza A virus (A/Hangzhou/B360/2012(H3N2))","","","","","","c"
"KM208527","1701","Human","4 (HA)","H3N2","China","N","2012/08/16","Influenza A virus (A/Hangzhou/A379/2012(H3N2))","","","","","","c"
"KM208528","1701","Human","4 (HA)","H3N2","China","N","2012/08/28","Influenza A virus (A/Hangzhou/A389/2012(H3N2))","","","","","","c"
"MK641731","1701","Human","4 (HA)","H3N2","China","N","2012/08/29","Influenza A virus (A/China/38887/2012)","","","","","","c"
"MK641732","1701","Human","4 (HA)","H3N2","China","N","2012/08/29","Influenza A virus (A/China/38888/2012)","","","","","","c"
"KM208529","1701","Human","4 (HA)","H3N2","China","N","2012/09/07","Influenza A virus (A/Hangzhou/A399/2012(H3N2))","","","","","","c"
"MK641733","1701","Human","4 (HA)","H3N2","China","N","2012/09/26","Influenza A virus (A/China/39207/2012)","","","","","","c"
